timestamp,symbol,timeframe,open,high,low,close,tick_volume,spread,real_volume
2026-06-12 04:00:00+00:00,XAUUSDm,M30,4197.226,4201.096,4190.463,4192.695,5050,260,0
2026-06-12 04:30:00+00:00,XAUUSDm,M30,4192.648,4198.449,4189.464,4190.115,4312,260,0
2026-06-12 05:00:00+00:00,XAUUSDm,M30,4190.081,4192.981,4181.929,4186.967,6003,260,0
2026-06-12 05:30:00+00:00,XAUUSDm,M30,4186.912,4187.67,4170.758,4173.03,11592,260,0
2026-06-12 06:00:00+00:00,XAUUSDm,M30,4173.098,4185.642,4173.098,4181.937,7398,260,0
2026-06-12 06:30:00+00:00,XAUUSDm,M30,4182.15,4184.837,4172.296,4184.002,7081,260,0
2026-06-12 07:00:00+00:00,XAUUSDm,M30,4184.056,4184.906,4173.797,4174.251,7297,260,0
2026-06-12 07:30:00+00:00,XAUUSDm,M30,4174.199,4194.047,4170.058,4194.047,9392,260,0
2026-06-12 08:00:00+00:00,XAUUSDm,M30,4194.384,4220.623,4191.789,4213.123,15490,260,0
2026-06-12 08:30:00+00:00,XAUUSDm,M30,4213.133,4226.033,4211.779,4219.695,9627,260,0
2026-06-12 09:00:00+00:00,XAUUSDm,M30,4219.481,4226.853,4217.278,4220.82,8217,260,0
2026-06-12 09:30:00+00:00,XAUUSDm,M30,4220.913,4227.914,4219.325,4221.921,7108,260,0
2026-06-12 10:00:00+00:00,XAUUSDm,M30,4221.864,4225.452,4202.782,4206.712,7858,260,0
2026-06-12 10:30:00+00:00,XAUUSDm,M30,4206.798,4218.735,4206.363,4210.733,6075,260,0
2026-06-12 11:00:00+00:00,XAUUSDm,M30,4210.866,4212.078,4202.038,4202.7,6217,260,0
2026-06-12 11:30:00+00:00,XAUUSDm,M30,4202.557,4215.373,4197.41,4207.017,6110,260,0
2026-06-12 12:00:00+00:00,XAUUSDm,M30,4206.966,4215.365,4200.418,4201.116,8798,260,0
2026-06-12 12:30:00+00:00,XAUUSDm,M30,4201.204,4201.889,4188.44,4191.873,8605,260,0
2026-06-12 13:00:00+00:00,XAUUSDm,M30,4191.82,4206.804,4186.56,4202.673,8904,260,0
2026-06-12 13:30:00+00:00,XAUUSDm,M30,4202.895,4210.169,4182.73,4186.499,27074,260,0
2026-06-12 14:00:00+00:00,XAUUSDm,M30,4186.161,4199.45,4182.514,4188.689,15228,260,0
2026-06-12 14:30:00+00:00,XAUUSDm,M30,4188.65,4208.569,4176.959,4204.055,21966,260,0
2026-06-12 15:00:00+00:00,XAUUSDm,M30,4204.114,4235.655,4200.174,4225.948,15358,260,0
2026-06-12 15:30:00+00:00,XAUUSDm,M30,4225.896,4228.579,4206.703,4211.904,14534,260,0
2026-06-12 16:00:00+00:00,XAUUSDm,M30,4211.963,4233.079,4207.886,4217.179,13365,260,0
2026-06-12 16:30:00+00:00,XAUUSDm,M30,4216.969,4220.535,4211.246,4216.119,8786,260,0
2026-06-12 17:00:00+00:00,XAUUSDm,M30,4216.178,4226.558,4213.874,4219.0,7055,260,0
2026-06-12 17:30:00+00:00,XAUUSDm,M30,4218.781,4225.107,4214.082,4221.41,4983,260,0
2026-06-12 18:00:00+00:00,XAUUSDm,M30,4221.474,4235.334,4218.17,4226.463,5799,260,0
2026-06-12 18:30:00+00:00,XAUUSDm,M30,4226.367,4230.064,4214.02,4215.692,4799,260,0
2026-06-12 19:00:00+00:00,XAUUSDm,M30,4215.639,4219.003,4207.825,4208.587,4476,260,0
